Brand_Name_s__s,Product_Group_Code_Description_s,Basic_Model_Number_m,Individual_Model_Number_Covered_by_Basic_Model_m,Capacity__Cubic_Feet__d,Integrated_Modified_Energy_Factor__cubic_feet_per_kilowatt_hour_per_cycle__d,Integrated_Water_Factor__gallons_per_cycle_per_cubic_foot__d,Corrected_Remaining_Moisture_Content_____d,Is_the_Certification_for_this_Basic_Model_Based_on_a_Waiver_of_DOE_s_Test_Procedure_Requirements__s,Is_the_Certification_based_upon_any_Exception_Relief_from_an_Applicable_Standard_by_DOE_s_Office_of_Hearing_and_Appeals__s
Crosley,"Top-loading, standard (1.6 ft3 or greater capacity)",V17eEs50(3B),ZAW47115G**,4.7,1.57,6.5,37.4,No,No
Whirlpool,"Top-loading, standard (1.6 ft3 or greater capacity)",V14MAT52(3B),WTW4915E*+,3.5,1.29,8.4,45.8,No,No
Maytag,"Top-loading, standard (1.6 ft3 or greater capacity)",V14MBS58(3B),MVWP475E*+,3.6,1.29,8.4,41.2,No,No
Maytag,"Top-loading, standard (1.6 ft3 or greater capacity)",V14MBS58(3B),MVWC415E*+,3.6,1.29,8.4,41.2,No,No
Amana,"Top-loading, standard (1.6 ft3 or greater capacity)",V14MDR58(3B),NTW4655E*+,3.5,1.29,8.4,44.2,No,No
Whirlpool,"Top-loading, standard (1.6 ft3 or greater capacity)",V14CAM510(3B),WTW7000D*+,4.8,2.06,4.3,36.1,No,No
Roper,"Top-loading, standard (1.6 ft3 or greater capacity)",V16ZGh55(3B),RTW4516F**,3.5,1.29,8.4,47.9,No,No
Whirlpool,"Top-loading, standard (1.6 ft3 or greater capacity)",V14CAM510(3B),WTW7040D*+,4.8,2.06,4.3,36.1,No,No
Inglis,"Top-loading, standard (1.6 ft3 or greater capacity)",V16ZMh51(3B),ITW4871F*,3.5,1.29,8.4,46.8,No,No
Amana,"Top-loading, standard (1.6 ft3 or greater capacity)",V14MDR58(3B),NTW4705E*+,3.5,1.29,8.4,44.2,No,No
Maytag,"Front-loading, standard (1.6 ft3 or greater capacity)",H15NBY44(3B),MHW3505F**,4.4,2.92,3.2,29.1,No,No
Whirlpool,"Top-loading, standard (1.6 ft3 or greater capacity)",V14KAP55(3B),WET4027E*+,2.5,1.29,8.4,50.6,No,No
Whirlpool,"Front-loading, standard (1.6 ft3 or greater capacity)",H15NAZ55(3B),WFW90HEF**,4.5,2.92,3.2,29.4,No,No
Whirlpool,"Top-loading, standard (1.6 ft3 or greater capacity)",V14KAP55(3B),WGT4027E*+,2.5,1.29,8.4,50.6,No,No
Whirlpool,"Front-loading, standard (1.6 ft3 or greater capacity)",H15NAZ55(3B),WFW92HEF**,4.5,2.92,3.2,29.4,No,No
Whirlpool,"Front-loading, standard (1.6 ft3 or greater capacity)",H15AAC41(3B),WFW95HED*+,4.5,2.75,3.2,29.2,No,No
Maytag,"Front-loading, standard (1.6 ft3 or greater capacity)",H15AAC31(3B),MHW5100D*+,4.5,2.75,3.2,29.2,No,No
Maytag,"Top-loading, standard (1.6 ft3 or greater capacity)",V16eBc54(3B),MVWB766F**,4.7,1.29,8.4,36.4,No,No
Maytag,"Front-loading, standard (1.6 ft3 or greater capacity)",H15ABA51(3B,MHW4300D*+,4.2,2.38,3.7,29.2,No,No
Maytag,"Top-loading, standard (1.6 ft3 or greater capacity)",V15YBK50(3B),MVWB865F**,5.3,2.06,4.3,37.4,No,No
Whirlpool,"Top-loading, standard (1.6 ft3 or greater capacity)",V15YAK50(3B),WTW8510F**,5.3,2.06,4.3,37.2,No,No
Whirlpool,"Front-loading, standard (1.6 ft3 or greater capacity)",H16NAZ52(3B),WFW85HEF*,4.5,2.92,3.2,29.5,No,No
Whirlpool,"Front-loading, standard (1.6 ft3 or greater capacity)",H16NAZ52(3B),WFW8540F*,4.5,2.92,3.2,29.5,No,No
Whirlpool,"Front-loading, standard (1.6 ft3 or greater capacity)",H15AAA43(3B),WFW72HED*+,4.2,2.75,3.2,29.2,No,No
Maytag,"Top-loading, standard (1.6 ft3 or greater capacity)",V14CBM52(3B),MVWB755D*+,4.8,2.06,4.3,35.5,No,No
Maytag,"Top-loading, standard (1.6 ft3 or greater capacity)",V14CBK57(3B),MVWB835D*+,5.3,2.06,4.3,36.5,No,No
Avanti,"Top-loading, compact (less than 1.6 ft3 capacity)",MAR30-P0501GP/US13-K4,TLW09W,0.9,0.86,14.4,44.5,No,No
Avanti,"Top-loading, standard (1.6 ft3 or greater capacity)",MAM120-S2003GPS/M-13-K4,TLW30W,3.0,1.29,8.4,39.7,No,No
Splendide,"Front-loading, standard (1.6 ft3 or greater capacity)",WD2100XC(NA).1,WD2100XC(NA).1,1.8,1.9,4.0,31.8,No,No
Splendide,"Front-loading, standard (1.6 ft3 or greater capacity)",WDC7100XCNA.1,WDC7100XCNA.1,1.8,1.94,3.8,32.5,No,No
Ariston,"Front-loading, standard (1.6 ft3 or greater capacity)",ARWXF129WNA.1,ARWXF129WNA.1,1.8,1.94,3.8,32.5,No,No
Ariston,"Front-loading, standard (1.6 ft3 or greater capacity)",ARWL129NA.1,ARWL129NA.1,1.8,1.94,3.8,32.5,No,No
Miele,"Front-loading, standard (1.6 ft3 or greater capacity)",PW 6068,PW 6068,2.1,1.87,4.5,29.0,No,No
Whirlpool,"Top-loading, standard (1.6 ft3 or greater capacity)",V14CAJ512(3B,WTW5000D*+,4.3,1.29,8.4,45.3,No,No
Maytag,"Top-loading, standard (1.6 ft3 or greater capacity)",V14CBJ511(3B),MVWX655D*+,4.3,1.29,8.4,46.3,No,No
Whirlpool,"Top-loading, standard (1.6 ft3 or greater capacity)",V14KAP55(3B),WGTLV27E*+,2.5,1.29,8.4,50.6,No,No
Kenmore,"Top-loading, standard (1.6 ft3 or greater capacity)",V17ZCv52(3B),2023*71*,3.5,1.29,8.4,47.5,No,No
Whirlpool,"Top-loading, standard (1.6 ft3 or greater capacity)",V14MAT54(3B),WTW4915E*+,3.7,1.29,8.4,45.8,No,No
Bosch,"Front-loading, standard (1.6 ft3 or greater capacity)",WAW285H2UC,WAW285H2UC,2.2,2.22,3.7,31.0,No,No
Fisher & Paykel,"Top-loading, standard (1.6 ft3 or greater capacity)",WL4027P*,WL4027P*,4.0,2.28,4.1,34.1,No,No
